local-authority-code,area,pop-2020
CAM,3046.0,657204.0
CMA,6767.0,499781.0
DBY,2320.0,620948.0
DEV,6791.0,996951.0
ESS,845.0,662406.0
ESX,1708.0,558852.0
GLA,1571.0,9002488.0
GLS,5268.0,1476003.0
HAM,1545.0,674727.0
HRT,3001.0,1383810.0
KEN,2279.0,1293311.0
LAN,3292.0,1504964.0
LCR,732.0,1564015.0
LEC,3444.0,1152475.0
LIN,5061.0,774956.0
NFK,6540.0,1010225.0
NTT,2263.0,823834.0
NYK,7221.0,511873.0
OXF,3244.0,815160.0
SCR,1552.0,1415054.0
SFK,2468.0,552921.0
SOM,2262.0,408430.0
SRY,648.0,666979.0
STS,1657.0,663822.0
WAR,2989.0,1116677.0
WOR,1782.0,662257.0
WSX,1949.0,803448.0
CPCA,6435.0,1517034.0
GMCA,1275.0,2848286.0
NECA,2569.0,1164078.0
NTCA,5215.0,839515.0
TVCA,795.0,677170.0
WECA,953.0,950039.0
WMCA,902.0,2939927.0
WYCA,2030.0,2345235.0
