label,desc
Northern Ireland,Local authority in Northern Ireland
Scotland,Local authority in Scotland
South East,Local authority in the South East
Wales,Local authority in Wales
North West,Local authority in the North West
East Midlands,Local authority in the East Midlands
East of England,Local authority in the East of England
South West,Local authority in the South West
London,Local authority in London
West Midlands,Local authority in the West Midlands
Yorkshire and The Humber,Local authority in Yorkshire and The Humber
North East,Local authority in the North East
