local-authority-code,pop-2020,wpop
IOS,2226,65452
LND,10938,65452
ORK,22400,65452
ZET,22870,65452
ELS,26500,65452
RUT,40476,65452
CLK,51290,65452
MEL,51394,65452
RIH,53732,65452
EDN,53754,65452
RYE,55629,65452
WDE,56139,65452
OAD,57313,65452
CRA,57338,65452
MTY,60424,65452
RIB,62026,65452
ADU,64187,65452
MAL,65401,65452
NWA,65452,65452
BAR,66726,66726
COP,68041,68041
TOR,68719,68719
BGW,70020,70020
AGY,70440,70440
BOT,70837,70837
ROS,71432,71432
DEB,72422,72422
CGN,72895,72895
TAW,76864,76864
IVC,77060,77060
BRW,77242,77242
MAV,79445,79445
EPS,81003,81003
HYN,81133,81133
FYL,81211,81211
BOS,81305,81305
MDE,83290,83290
GOS,84679,84679
AGB,85430,85430
RED,85568,85568
FOE,87107,87107
HAR,87280,87280
MOL,87547,87547
ROC,87627,87627
SHA,87946,87946
STV,88104,88104
WDU,88340,88340
TAN,88542,88542
SUR,89204,89204
BUN,89344,89344
ECA,90172,90172
COT,90264,90264
RUN,90327,90327
CAS,90524,90524
SEL,91697,91697
HAE,91932,91932
PEN,92145,92145
HAS,92554,92554
HIG,92633,92633
BAB,92735,92735
UTT,92759,92759
MLN,93150,93150
HPL,93836,93836
THE,93966,93966
STG,94080,94080
RUH,94387,94387
TOF,94832,94832
MON,95164,95164
HAO,95537,95537
MRY,95710,95710
SHO,95857,95857
ERW,96060,96060
WLI,96186,96186
WAT,96623,96623
TEW,96624,96624
DEN,96664,96664
ROH,96716,96716
BRX,97592,97592
HAT,97608,97608
ALL,97831,97831
NDE,98170,98170
STF,98427,98427
GRY,99198,99198
SPE,99873,99873
WOI,100008,100008
LIC,100049,100049
WOC,100265,100265
BRM,100569,100569
WYE,101139,101139
CAN,101484,101484
BLA,101950,101950
FEN,102080,102080
NED,102216,102216
EAS,103324,103324
LEE,103525,103525
NWL,104809,104809
MSU,104857,104857
SLA,104905,104905
CHS,104930,104930
NNO,105167,105167
HER,105471,105471
LIF,105637,105637
GRA,106890,106890
DAL,107402,107402
ELN,107900,107900
CAR,108524,108524
SCE,108737,108737
EDU,108750,108750
MAS,109351,109351
SDE,109516,109516
RUG,110650,110650
WOT,110727,110727
SRI,111086,111086
WOX,111758,111758
SAY,112140,112140
SST,112369,112369
CRW,112474,112474
WYR,113067,113067
SHE,113320,113320
HIN,113666,113666
DAR,114051,114051
WLA,114496,114496
BRT,114627,114627
SCB,115240,115240
ERE,115332,115332
ANS,115820,115820
CHT,116043,116043
MEN,116288,116288
FAR,116338,116338
FMO,117337,117337
NKE,118149,118149
CWY,118184,118184
GED,118239,118239
BAE,118280,118280
DOV,118514,118514
CHO,118870,118870
TUN,118939,118939
STO,120903,120903
EST,120923,120923
SEV,121387,121387
RUS,121416,121416
CHI,121508,121508
EAY,121600,121600
NEA,123127,123127
SEG,123446,123446
EHA,123838,123838
WEW,123893,123893
BRC,124165,124165
CAB,125063,125063
GWN,125171,125171
WIN,125925,125925
HAA,126339,126339
WAE,126556,126556
PEM,126751,126751
TES,127163,127163
ASH,128337,128337
AMB,128829,128829
NEC,129610,129610
GLO,129709,129709
HAL,129759,129759
NUN,130373,130373
ASF,131018,131018
WYC,131084,131084
BRO,131931,131931
EPP,132175,132175
STR,132402,132402
TON,132571,132571
POW,133030,133030
EXE,133333,133333
NHE,133463,133463
NAY,134250,134250
TEI,135039,135039
VGL,135295,135295
EAT,135520,135520
IPS,135979,135979
WRX,136055,136055
TOB,136218,136218
ELM,137215,137215
RCC,137228,137228
STA,137858,137858
VAL,137910,137910
BPL,138381,138381
MEA,139443,139443
BRE,141255,141255
MDB,141285,141285
THA,141458,141458
ELI,142030,142030
NOW,142177,142177
IOW,142296,142296
SNO,143066,143066
SKE,143225,143225
ANN,143756,143756
SOX,143782,143782
PRE,144147,144147
NTL,144386,144386
WAW,144909,144909
CCG,144943,144943
HOR,145474,145474
LBC,146452,146452
TEN,147353,147353
BGE,147539,147539
EDE,148080,148080
LAC,148119,148119
DGY,148290,148290
DND,148820,148820
MUL,148953,148953
REI,149243,149243
SAL,149317,149317
SLG,149577,149577
BBD,150030,150030
GRT,150352,150352
SWL,151015,151015
DRS,151109,151109
STY,151133,151133
KIN,151245,151245
WNM,151273,151273
OXO,151584,151584
EHE,151786,151786
CHR,151846,151846
PKN,151910,151910
MSS,152142,152142
KWL,152452,152452
BRA,153091,153091
SWT,155421,155421
DAC,155457,155457
NWP,156447,156447
FLN,156847,156847
KEC,156864,156864
WBK,158465,158465
NEL,159364,159364
RDG,160337,160337
FAL,160560,160560
SCA,160904,160904
ARU,161123,161123
HAG,161545,161545
AND,162056,162056
WEA,162733,162733
CAT,166762,166762
SSO,168696,168696
NLN,172748,172748
MAI,173132,173132
WOK,173945,173945
BDF,174687,174687
THR,175531,175531
WSK,177302,177302
BAN,177760,177760
HUN,178985,178985
KTT,179142,179142
RFW,179390,179390
CHL,179549,179549
NEW,179649,179649
SHN,181095,181095
TFW,181322,181322
NMD,181669,181669
CAY,181731,181731
SOS,182773,182773
HMF,183544,183544
WLN,183820,183820
BAI,187558,187558
CHA,188416,188416
CMN,190073,190073
BUR,190708,190708
HEF,193615,193615
BAS,196357,196357
COL,197200,197200
STT,197419,197419
RIC,198141,198141
GAT,201950,201950
PTE,202626,202626
MRT,206453,206453
STN,207707,207707
NTY,208871,208871
WRT,209397,209397
YOR,211012,211012
CLD,211439,211439
LUT,213528,213528
BDG,214107,214107
POR,214692,214692
NSM,215574,215574
ABC,217232,217232
SOL,217487,217487
SWD,222881,222881
RCH,223659,223659
TAM,227117,227117
ABE,229060,229060
HLD,235430,235430
TRF,237579,237579
OLD,237628,237628
RCT,241873,241873
SWA,246563,246563
BNS,248071,248071
ISL,248115,248115
BEX,249301,249301
ESK,250373,250373
HRW,252338,252338
STH,252872,252872
STE,256622,256622
DER,256814,256814
KHL,259126,259126
HAV,260651,260651
ABD,260780,260780
SLF,262697,262697
PLY,262839,262839
WLV,264407,264407
ROT,264984,264984
HRY,266357,266357
WSM,269848,269848
MIK,270203,270203
HNS,271767,271767
SFT,275899,275899
WFT,276940,276940
SND,277846,277846
MDW,279142,279142
CMD,279516,279516
HCK,280941,280941
WLL,286716,286716
SGC,287816,287816
BOL,288248,288248
GRE,289034,289034
BNH,291738,291738
CBF,294096,294096
SKP,294197,294197
LEW,305309,305309
RDB,305658,305658
NET,306824,306824
HIL,309014,309014
DNC,312785,312785
SWK,320017,320017
SLK,320820,320820
LBH,321813,321813
DUD,322363,322363
NBL,323820,323820
WRL,324336,324336
SHR,325415,325415
BEN,327753,327753
SAW,329042,329042
WND,329735,329735
WGN,330712,330712
TWH,331969,331969
BRY,332752,332752
ENF,333587,333587
NGM,337098,337098
EAL,340341,340341
NLK,341140,341140
BFS,342560,342560
ERY,343201,343201
CHW,343823,343823
NNT,350448,350448
WKF,351592,351592
LCE,354036,354036
NWM,355266,355266
CRF,369202,369202
FIF,374130,374130
COV,379387,379387
DST,379791,379791
CHE,386667,386667
CRY,388563,386667
BPC,396989,386667
BNE,399007,386667
WNT,406733,386667
KIR,441290,386667
BST,465866,386667
LIV,500474,386667
WIL,504070,386667
EDH,527620,386667
DUR,533149,386667
BRD,542128,386667
BUC,547060,386667
MAN,555741,386667
CON,573299,386667
SHF,589214,386667
GLG,635640,386667
LDS,798786,386667
BIR,1140525,386667
